firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 5240, seriesName: 奥迪Q2L e-tron
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 3170, seriesName: 奥迪A3
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 692, seriesName: 奥迪A4L
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 18, seriesName: 奥迪A6L
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 4871, seriesName: 奥迪Q2L
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 2951, seriesName: 奥迪Q3
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 4851, seriesName: 奥迪Q5L
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 4526, seriesName: 奥迪A6L新能源
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 3304, seriesName: 奥迪Q4
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 19, seriesName: 奥迪A4
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 509, seriesName: 奥迪A6
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 一汽-大众奥迪, seriesCode: 812, seriesName: 奥迪Q5
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: Audi Sport, seriesCode: 2731, seriesName: 奥迪RS 3
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: Audi Sport, seriesCode: 2733, seriesName: 奥迪RS 4
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: Audi Sport, seriesCode: 2735, seriesName: 奥迪RS 5
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: Audi Sport, seriesCode: 2737, seriesName: 奥迪RS 6
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: Audi Sport, seriesCode: 2994, seriesName: 奥迪RS 7
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: Audi Sport, seriesCode: 511, seriesName: 奥迪R8
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: Audi Sport, seriesCode: 2741, seriesName: 奥迪TT RS
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: Audi Sport, seriesCode: 2760, seriesName: 奥迪RS Q3
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: Audi Sport, seriesCode: 4998, seriesName: 奥迪RSQ e-tron
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 奥迪(进口), seriesCode: 3894, seriesName: 奥迪e-tron
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 奥迪(进口), seriesCode: 370, seriesName: 奥迪A3(进口)
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 奥迪(进口), seriesCode: 2730, seriesName: 奥迪S3
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 奥迪(进口), seriesCode: 471, seriesName: 奥迪A4(进口)
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 奥迪(进口), seriesCode: 538, seriesName: 奥迪A5
firstLetter: A, brandCode: 33, brandName: 奥迪, brandSeries: 奥迪(进口), seriesCode: 2732, seriesName: 奥迪S4
